t,epoch,status,heading,course,speed,turn,maneuver,roa,inter_speed,inter_turn,traj_id,mmsi,calc_speed,direction,angular_difference,calc_acc,inter_lat,inter_lon,in_waterways,distance_shore
2022-07-05 16:25:18,1657038321.0,15,511.0,169.6,5.2,128.0,0,0,5.188790901984808,128.0,0,244620045,5.407646590159887,286.65767329235433,0.3652193065991014,-6.192216719916743,54.357304,10.156364,0,0.755182
2022-07-05 16:25:24,1657038321.0,15,511.0,169.6,5.2,128.0,0,0,5.209749266396583,128.0,0,244620045,5.3293910651323815,286.5050855743372,0.1525877180171164,-46.95331501650326,54.35716,10.156406,0,0.764117
2022-07-05 16:25:30,1657038321.0,15,511.0,169.6,5.2,128.0,0,0,5.2344885900573015,128.0,0,244620045,5.32939042632175,286.50508762324466,2.048907447260717e-06,-0.0003832863786357,54.357016,10.156448,0,0.773298
2022-07-05 16:25:36,1657038321.0,15,511.0,169.6,5.2,128.0,0,0,5.260378206838524,128.0,0,244620045,5.285268044680359,286.2396734078716,0.2654142153730845,-26.47342898483469,54.356873,10.156489,0,0.782577
2022-07-05 16:25:42,1657038352.0,15,511.0,169.4,5.3,128.0,0,0,5.28291320309677,128.0,0,244620045,5.309594718324825,285.75907497917,0.480598428701569,14.5960041866795,54.356729,10.156529,0,0.792017
2022-07-05 16:25:48,1657038352.0,15,511.0,169.4,5.3,128.0,0,0,5.297588665188559,128.0,0,244620045,5.319379839739683,286.1327876436798,0.3737126645098101,5.871072848914594,54.356585,10.15657,0,0.801784
2022-07-05 16:25:54,1657038352.0,15,511.0,169.4,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.353510307866161,286.0272611619723,0.1055264817074999,20.478280875886945,54.35644,10.156611,0,0.811806
2022-07-05 16:26:00,1657038352.0,15,511.0,169.4,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.397540608001512,286.29106731368256,0.2638061517102414,26.41818008121035,54.356294,10.156653,0,0.822183
2022-07-05 16:26:06,1657038380.0,15,511.0,170.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.397539959873822,286.29106933960645,2.025923890869308e-06,-0.0003888766135773,54.356148,10.156695,0,0.832764
2022-07-05 16:26:12,1657038380.0,15,511.0,170.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.421823412692026,285.8201939032677,0.4708754363387015,14.570071690922326,54.356001,10.156736,0,0.843486
2022-07-05 16:26:18,1657038380.0,15,511.0,170.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.402842382801129,285.08448211555,0.7357117877177757,-11.388617934538203,54.355854,10.156775,0,0.854202
